Key,genre,date,value,console
Nintendogs,simulation,2005,1485047,DS
Nintendogs,simulation,2006,2109928,DS
Nintendogs,simulation,2007,1850631,DS
Nintendogs,simulation,2008,1675954,DS
Nintendogs,simulation,2009,841436,DS
Nintendogs,simulation,2010,289825,DS
Nintendogs,simulation,2011,35882,DS
Nintendogs,simulation,2012,12160,DS
Nintendogs,simulation,2013,10114,DS
Nintendogs,simulation,2014,9304,DS
Nintendogs,simulation,2015,1146,DS
Mario Kart,Racing,2005,804098,DS
Mario Kart,Racing,2006,830651,DS
Mario Kart,Racing,2007,868129,DS
Mario Kart,Racing,2008,1459180,DS
Mario Kart,Racing,2009,1491308,DS
Mario Kart,Racing,2010,2128800,DS
Mario Kart,Racing,2011,580910,DS
Mario Kart,Racing,2012,383070,DS
Mario Kart,Racing,2013,232841,DS
Mario Kart,Racing,2014,103087,DS
Mario Kart,Racing,2015,11520,DS
Super Mario 64,Platform,2004,619693,DS
Super Mario 64,Platform,2005,659009,DS
Super Mario 64,Platform,2006,424848,DS
Super Mario 64,Platform,2007,468851,DS
Super Mario 64,Platform,2008,646529,DS
Super Mario 64,Platform,2009,635142,DS
Super Mario 64,Platform,2010,410381,DS
Super Mario 64,Platform,2011,294205,DS
Super Mario 64,Platform,2012,232204,DS
Super Mario 64,Platform,2013,141265,DS
Super Mario 64,Platform,2014,52785,DS
Super Mario 64,Platform,2015,4363,DS
Grand Theft Auto: Liberty City Stories,Action,2005,657231,PSP
Grand Theft Auto: Liberty City Stories,Action,2006,599480,PSP
Grand Theft Auto: Liberty City Stories,Action,2007,430814,PSP
Grand Theft Auto: Liberty City Stories,Action,2008,418379,PSP
Grand Theft Auto: Liberty City Stories,Action,2009,237618,PSP
Grand Theft Auto: Liberty City Stories,Action,2010,139125,PSP
Grand Theft Auto: Liberty City Stories,Action,2011,73869,PSP
Grand Theft Auto: Liberty City Stories,Action,2012,49144,PSP
Grand Theft Auto: Liberty City Stories,Action,2013,35852,PSP
Grand Theft Auto: Liberty City Stories,Action,2014,7668,PSP
Grand Theft Auto: Liberty City Stories,Action,2015,1410,PSP
Call of Duty 2,Shooter,2005,500044,Xbox 360
Call of Duty 2,Shooter,2006,545668,Xbox 360
Call of Duty 2,Shooter,2007,153544,Xbox 360
Call of Duty 2,Shooter,2008,149792,Xbox 360
Call of Duty 2,Shooter,2009,77984,Xbox 360
Call of Duty 2,Shooter,2010,5395,Xbox 360
Call of Duty 2,Shooter,2011,46986,Xbox 360
Call of Duty 2,Shooter,2012,40104,Xbox 360
Call of Duty 2,Shooter,2013,57208,Xbox 360
Call of Duty 2,Shooter,2014,45884,Xbox 360
Call of Duty 2,Shooter,2015,6061,Xbox 360
Madden NFL 06,Sports,2005,459841,PSP
Madden NFL 06,Sports,2006,169903,PSP
Madden NFL 06,Sports,2007,3882,PSP
Madden NFL 06,Sports,2008,951,PSP
Madden NFL 06,Sports,2009,178,PSP
Need for Speed Underground Rivals,Racing,2005,401682,PSP
Need for Speed Underground Rivals,Racing,2006,112954,PSP
Need for Speed Underground Rivals,Racing,2007,65199,PSP
Need for Speed Underground Rivals,Racing,2008,33607,PSP
Need for Speed Underground Rivals,Racing,2009,7859,PSP
Need for Speed Underground Rivals,Racing,2010,1690,PSP
Need for Speed Underground Rivals,Racing,2011,887,PSP
Need for Speed Underground Rivals,Racing,2012,767,PSP
Need for Speed Underground Rivals,Racing,2013,1240,PSP
Need for Speed Underground Rivals,Racing,2014,2133,PSP
Need for Speed Underground Rivals,Racing,2015,298,PSP
Twisted Metal: Head on,Action,2005,370801,PSP
Twisted Metal: Head on,Action,2006,118084,PSP
Twisted Metal: Head on,Action,2007,65108,PSP
Twisted Metal: Head on,Action,2008,17717,PSP
Twisted Metal: Head on,Action,2009,7715,PSP
Twisted Metal: Head on,Action,2010,12301,PSP
Twisted Metal: Head on,Action,2011,43997,PSP
Twisted Metal: Head on,Action,2012,6701,PSP
Twisted Metal: Head on,Action,2013,8188,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2005,367824,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2006,60953,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2007,17202,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2008,5696,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2009,11941,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2010,10793,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2011,10606,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2012,1335,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2013,1547,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2014,1950,PSP
Untold Legends: Brotherhood of the Blade,Role-Playing,2015,277,PSP
WarioWare Tocuhed!,Puzzle,2005,352346,DS
WarioWare Tocuhed!,Puzzle,2006,46102,DS
WarioWare Tocuhed!,Puzzle,2007,14516,DS
WarioWare Tocuhed!,Puzzle,2008,27026,DS
WarioWare Tocuhed!,Puzzle,2009,17881,DS
WarioWare Tocuhed!,Puzzle,2010,1517,DS
WarioWare Tocuhed!,Puzzle,2011,2473,DS
WarioWare Tocuhed!,Puzzle,2012,1050,DS
WarioWare Tocuhed!,Puzzle,2013,1910,DS
WarioWare Tocuhed!,Puzzle,2014,4368,DS
WarioWare Tocuhed!,Puzzle,2015,509,DS
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2005,340008,PSP
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2006,30989,PSP
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2007,166289,PSP
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2008,61896,PSP
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2009,8199,PSP
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2010,9773,PSP
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2011,22946,PSP
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2012,9120,PSP
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2013,11483,PSP
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2014,2395,PSP
SOCOM: U.S Navy SEALs Fireteam Bravo,Shooter,2015,451,PSP
Midnight Club 3: DUB Edition,Racing,2005,304551,PSP
Midnight Club 3: DUB Edition,Racing,2006,302694,PSP
Midnight Club 3: DUB Edition,Racing,2007,345274,PSP
Midnight Club 3: DUB Edition,Racing,2008,302844,PSP
Midnight Club 3: DUB Edition,Racing,2009,113093,PSP
Midnight Club 3: DUB Edition,Racing,2010,60559,PSP
Midnight Club 3: DUB Edition,Racing,2011,29673,PSP
Midnight Club 3: DUB Edition,Racing,2012,28242,PSP
Midnight Club 3: DUB Edition,Racing,2013,12445,PSP
Midnight Club 3: DUB Edition,Racing,2014,6842,PSP
Midnight Club 3: DUB Edition,Racing,2015,671,PSP
Perfect Dark Zero,Shooter,2005,291097,Xbox 360
Perfect Dark Zero,Shooter,2006,179766,Xbox 360
Perfect Dark Zero,Shooter,2007,38456,Xbox 360
Perfect Dark Zero,Shooter,2008,32787,Xbox 360
Perfect Dark Zero,Shooter,2009,16923,Xbox 360
Perfect Dark Zero,Shooter,2010,12410,Xbox 360
Perfect Dark Zero,Shooter,2011,15485,Xbox 360
Perfect Dark Zero,Shooter,2012,8078,Xbox 360
Perfect Dark Zero,Shooter,2013,3907,Xbox 360
Perfect Dark Zero,Shooter,2014,3101,Xbox 360
Perfect Dark Zero,Shooter,2015,588,Xbox 360
Madden NFL 06,Sports,2005,287918,Xbox 360
Madden NFL 06,Sports,2006,175535,Xbox 360
Madden NFL 06,Sports,2007,18895,Xbox 360
