key,value,date
Super Mario Bros 64,0.659009,01/01/05
Super Mario Bros 64,0.424848,01/01/06
Super Mario Bros 64,0.468851,01/01/07
Super Mario Bros 64,0.646529,01/01/08
Super Mario Bros 64,0.635142,01/01/09
Super Mario Bros 64,0.410381,01/01/10
Super Mario Bros 64,0.294205,01/01/11
Super Mario Bros 64,0.232204,01/01/12
Super Mario Bros 64,0.141265,01/01/13
Super Mario Bros 64,0.052785,01/01/14
Super Mario Bros 64,0.004363,01/01/15
Mario Kart DS,0.804098,01/01/05
Mario Kart DS,0.830651,01/01/06
Mario Kart DS,0.868129,01/01/07
Mario Kart DS,1.459180,01/01/08
Mario Kart DS,1.491308,01/01/09
Mario Kart DS,2.128800,01/01/10
Mario Kart DS,0.580910,01/01/11
Mario Kart DS,0.383070,01/01/12
Mario Kart DS,0.232841,01/01/13
Mario Kart DS,0.103087,01/01/14
Mario Kart DS,0.011520,01/01/15
Mario & Luigi: Partners in Time,0.276473,01/01/05
Mario & Luigi: Partners in Time,0.277675,01/01/06
Mario & Luigi: Partners in Time,0.037063,01/01/07
Mario & Luigi: Partners in Time,0.018716,01/01/08
Mario & Luigi: Partners in Time,0.007753,01/01/09
Mario & Luigi: Partners in Time,0.014661,01/01/10
Mario & Luigi: Partners in Time,0.013862,01/01/11
Mario & Luigi: Partners in Time,0.004258,01/01/12
Mario & Luigi: Partners in Time,0.010222,01/01/13
Mario & Luigi: Partners in Time,0.009670,01/01/14
Mario & Luigi: Partners in Time,0.009980,01/01/15
Call of Duty 2,0.500044,01/01/05
Call of Duty 2,0.545668,01/01/06
Call of Duty 2,0.149792,01/01/07
Call of Duty 2,0.077984,01/01/08
Call of Duty 2,0.005395,01/01/09
Call of Duty 2,0.046986,01/01/10
Call of Duty 2,0.013862,01/01/11
Call of Duty 2,0.040104,01/01/12
Call of Duty 2,0.057208,01/01/13
Call of Duty 2,0.045884,01/01/14
Call of Duty 2,0.006061,01/01/15
