key,genre,date,value,console,total,company
Grand Theft Auto: Liberty City Stories(PSP),Action,1/5/13,0.657231,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,1/6/13,0.59948,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,1/7/13,0.430814,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,1/8/13,0.418379,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,1/9/13,0.237618,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,1/10/13,0.139125,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,1/11/13,0.073869,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,1/12/13,0.049144,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,1/13/13,0.035852,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,1/14/13,0.007668,PSP,2.64859,Take-Two Interactive
Twisted Metal: Head on(PSP),Action,1/5/13,0.370801,PSP,0.650612,Sony Computer Entertainment
Twisted Metal: Head on(PSP),Action,1/6/13,0.118084,PSP,0.650612,Sony Computer Entertainment
Twisted Metal: Head on(PSP),Action,1/7/13,0.065108,PSP,0.650612,Sony Computer Entertainment
Twisted Metal: Head on(PSP),Action,1/8/13,0.017717,PSP,0.650612,Sony Computer Entertainment
Twisted Metal: Head on(PSP),Action,1/9/13,0.007715,PSP,0.650612,Sony Computer Entertainment
Twisted Metal: Head on(PSP),Action,1/10/13,0.012301,PSP,0.650612,Sony Computer Entertainment
Twisted Metal: Head on(PSP),Action,1/11/13,0.043997,PSP,0.650612,Sony Computer Entertainment
Twisted Metal: Head on(PSP),Action,1/12/13,0.006701,PSP,0.650612,Sony Computer Entertainment
Twisted Metal: Head on(PSP),Action,1/13/13,0.008188,PSP,0.650612,Sony Computer Entertainment
Twisted Metal: Head on(PSP),Action,1/14/13,,PSP,0.650612,Sony Computer Entertainment
The Legend of Zelda: Twilight Princess(Wii),Action,1/5/13,,Wii,3.415535,Nintendo
The Legend of Zelda: Twilight Princess(Wii),Action,1/6/13,0.864192,Wii,3.415535,Nintendo
