key,genre,date,value,console,total,company
Call of Duty 2(Xbox 360),Shooter,1/5/13,0.500044,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/6/13,0.545668,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/7/13,0.153544,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/8/13,0.149792,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/9/13,0.077984,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/10/13,0.005395,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/11/13,0.046986,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/12/13,0.040104,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/13/13,0.057208,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/14/13,0.045884,Xbox 360,1.62867,Activision
Gears of War(Xbox 360),Shooter,1/5/13,,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/6/13,1.785997,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/7/13,0.823503,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/8/13,0.36595,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/9/13,0.09925,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/10/13,0.053574,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/11/13,0.046777,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/12/13,0.023647,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/13/13,0.025401,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/14/13,0.014318,Xbox 360,3.241065,Microsoft
Madden NFL 07(Xbox 360),Sports,1/5/13,,Xbox 360,1.523496,Electronic Arts
Madden NFL 07(Xbox 360),Sports,1/6/13,1.160526,Xbox 360,1.523496,Electronic Arts
Madden NFL 07(Xbox 360),Sports,1/7/13,0.251756,Xbox 360,1.523496,Electronic Arts
Madden NFL 07(Xbox 360),Sports,1/8/13,0.069142,Xbox 360,1.523496,Electronic Arts
Madden NFL 07(Xbox 360),Sports,1/9/13,0.01703,Xbox 360,1.523496,Electronic Arts
Madden NFL 07(Xbox 360),Sports,1/10/13,0.003545,Xbox 360,1.523496,Electronic Arts
Madden NFL 07(Xbox 360),Sports,1/11/13,0.002905,Xbox 360,1.523496,Electronic Arts
Madden NFL 07(Xbox 360),Sports,1/12/13,0.004171,Xbox 360,1.523496,Electronic Arts
Madden NFL 07(Xbox 360),Sports,1/13/13,0.007849,Xbox 360,1.523496,Electronic Arts
Madden NFL 07(Xbox 360),Sports,1/14/13,0.006091,Xbox 360,1.523496,Electronic Arts
Wii Sports(Wii),Sports,1/5/13,,Wii,37.988167,Nintendo
Wii Sports(Wii),Sports,1/6/13,1.045442,Wii,37.988167,Nintendo
Wii Sports(Wii),Sports,1/7/13,6.287171,Wii,37.988167,Nintendo
Wii Sports(Wii),Sports,1/8/13,9.669407,Wii,37.988167,Nintendo
Wii Sports(Wii),Sports,1/9/13,8.925351,Wii,37.988167,Nintendo
Wii Sports(Wii),Sports,1/10/13,7.172571,Wii,37.988167,Nintendo
Wii Sports(Wii),Sports,1/11/13,2.436953,Wii,37.988167,Nintendo
Wii Sports(Wii),Sports,1/12/13,1.505305,Wii,37.988167,Nintendo
Wii Sports(Wii),Sports,1/13/13,0.681413,Wii,37.988167,Nintendo
Wii Sports(Wii),Sports,1/14/13,0.254036,Wii,37.988167,Nintendo
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/5/13,,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/6/13,0.918448,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/7/13,0.182244,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/8/13,0.089839,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/9/13,0.022008,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/10/13,0.021842,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/11/13,0.010142,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/12/13,0.003317,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/13/13,0.0149,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/14/13,0.013316,Xbox 360,1.277221,Ubisoft
The Legend of Zelda: Twilight Princess(Wii),Action,1/5/13,,Wii,3.415535,Nintendo
The Legend of Zelda: Twilight Princess(Wii),Action,1/6/13,0.864192,Wii,3.415535,Nintendo
The Legend of Zelda: Twilight Princess(Wii),Action,1/7/13,1.00586,Wii,3.415535,Nintendo
The Legend of Zelda: Twilight Princess(Wii),Action,1/8/13,0.439949,Wii,3.415535,Nintendo
The Legend of Zelda: Twilight Princess(Wii),Action,1/9/13,0.197882,Wii,3.415535,Nintendo
The Legend of Zelda: Twilight Princess(Wii),Action,1/10/13,0.215178,Wii,3.415535,Nintendo
The Legend of Zelda: Twilight Princess(Wii),Action,1/11/13,0.313225,Wii,3.415535,Nintendo
The Legend of Zelda: Twilight Princess(Wii),Action,1/12/13,0.216945,Wii,3.415535,Nintendo
The Legend of Zelda: Twilight Princess(Wii),Action,1/13/13,0.102368,Wii,3.415535,Nintendo
The Legend of Zelda: Twilight Princess(Wii),Action,1/14/13,0.053491,Wii,3.415535,Nintendo
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/5/13,,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/6/13,0.758068,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/7/13,0.383752,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/8/13,0.314034,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/9/13,0.2635,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/10/13,0.145442,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/11/13,0.239192,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/12/13,0.154279,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/13/13,0.148229,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/14/13,0.092996,Xbox 360,2.513141,Take-Two Interactive
Halo 3(Xbox 360),Shooter,1/5/13,,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/6/13,,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/7/13,4.244324,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/8/13,1.177825,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/9/13,1.007305,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/10/13,0.312179,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/11/13,0.188687,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/12/13,0.143612,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/13/13,0.0898,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/14/13,0.077652,Xbox360,7.251021,Microsoft
Wii Play(Wii),Misc,1/5/13,,Wii,12.831592,Nintendo
Wii Play(Wii),Misc,1/6/13,,Wii,12.831592,Nintendo
Wii Play(Wii),Misc,1/7/13,3.690775,Wii,12.831592,Nintendo
Wii Play(Wii),Misc,1/8/13,5.291362,Wii,12.831592,Nintendo
Wii Play(Wii),Misc,1/9/13,2.729899,Wii,12.831592,Nintendo
Wii Play(Wii),Misc,1/10/13,0.705474,Wii,12.831592,Nintendo
Wii Play(Wii),Misc,1/11/13,0.158783,Wii,12.831592,Nintendo
Wii Play(Wii),Misc,1/12/13,0.140278,Wii,12.831592,Nintendo
Wii Play(Wii),Misc,1/13/13,0.056013,Wii,12.831592,Nintendo
Wii Play(Wii),Misc,1/14/13,0.05263,Wii,12.831592,Nintendo
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/5/13,,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/6/13,,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/7/13,2.35608,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/8/13,1.78552,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/9/13,0.489105,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/10/13,0.23545,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/11/13,0.111638,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/12/13,0.171307,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/13/13,0.12218,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/14/13,0.076238,Xbox360,5.359202,Activision
Super Mario Galaxy(Wii),Platform,1/5/13,,Wii,5.521207,Nintendo
Super Mario Galaxy(Wii),Platform,1/6/13,,Wii,5.521207,Nintendo
Super Mario Galaxy(Wii),Platform,1/7/13,2.06151,Wii,5.521207,Nintendo
Super Mario Galaxy(Wii),Platform,1/8/13,1.263785,Wii,5.521207,Nintendo
Super Mario Galaxy(Wii),Platform,1/9/13,0.427303,Wii,5.521207,Nintendo
Super Mario Galaxy(Wii),Platform,1/10/13,0.33967,Wii,5.521207,Nintendo
Super Mario Galaxy(Wii),Platform,1/11/13,0.54214,Wii,5.521207,Nintendo
Super Mario Galaxy(Wii),Platform,1/12/13,0.536905,Wii,5.521207,Nintendo
Super Mario Galaxy(Wii),Platform,1/13/13,0.253767,Wii,5.521207,Nintendo
Super Mario Galaxy(Wii),Platform,1/14/13,0.08564,Wii,5.521207,Nintendo
Forza Motorsport 2(Xbox 360),Racing,1/5/13,,Xbox360,2.145558,Microsoft
Forza Motorsport 2(Xbox 360),Racing,1/6/13,,Xbox360,2.145558,Microsoft
Forza Motorsport 2(Xbox 360),Racing,1/7/13,1.846227,Xbox360,2.145558,Microsoft
Forza Motorsport 2(Xbox 360),Racing,1/8/13,0.18654,Xbox360,2.145558,Microsoft
Forza Motorsport 2(Xbox 360),Racing,1/9/13,0.032383,Xbox360,2.145558,Microsoft
Forza Motorsport 2(Xbox 360),Racing,1/10/13,0.031981,Xbox360,2.145558,Microsoft
Forza Motorsport 2(Xbox 360),Racing,1/11/13,0.020773,Xbox360,2.145558,Microsoft
Forza Motorsport 2(Xbox 360),Racing,1/12/13,0.008985,Xbox360,2.145558,Microsoft
Forza Motorsport 2(Xbox 360),Racing,1/13/13,0.008892,Xbox360,2.145558,Microsoft
Forza Motorsport 2(Xbox 360),Racing,1/14/13,0.008216,Xbox360,2.145558,Microsoft
Mario Party 8(Wii),Misc,1/5/13,,Wii,3.425061,Nintendo
Mario Party 8(Wii),Misc,1/6/13,,Wii,3.425061,Nintendo
Mario Party 8(Wii),Misc,1/7/13,1.636713,Wii,3.425061,Nintendo
Mario Party 8(Wii),Misc,1/8/13,0.893276,Wii,3.425061,Nintendo
Mario Party 8(Wii),Misc,1/9/13,0.402844,Wii,3.425061,Nintendo
Mario Party 8(Wii),Misc,1/10/13,0.245171,Wii,3.425061,Nintendo
Mario Party 8(Wii),Misc,1/11/13,0.171125,Wii,3.425061,Nintendo
Mario Party 8(Wii),Misc,1/12/13,0.038087,Wii,3.425061,Nintendo
Mario Party 8(Wii),Misc,1/13/13,0.016471,Wii,3.425061,Nintendo
Mario Party 8(Wii),Misc,1/14/13,0.019198,Wii,3.425061,Nintendo
Madden NFL 08(Xbox 360),Sports,1/5/13,,Xbox360,1.999067,Electronic Arts
Madden NFL 08(Xbox 360),Sports,1/6/13,,Xbox360,1.999067,Electronic Arts
Madden NFL 08(Xbox 360),Sports,1/7/13,1.583045,Xbox360,1.999067,Electronic Arts
Madden NFL 08(Xbox 360),Sports,1/8/13,0.359549,Xbox360,1.999067,Electronic Arts
Madden NFL 08(Xbox 360),Sports,1/9/13,0.020058,Xbox360,1.999067,Electronic Arts
Madden NFL 08(Xbox 360),Sports,1/10/13,0.008961,Xbox360,1.999067,Electronic Arts
Madden NFL 08(Xbox 360),Sports,1/11/13,0.01163,Xbox360,1.999067,Electronic Arts
Madden NFL 08(Xbox 360),Sports,1/12/13,0.004676,Xbox360,1.999067,Electronic Arts
Madden NFL 08(Xbox 360),Sports,1/13/13,0.004005,Xbox360,1.999067,Electronic Arts
Madden NFL 08(Xbox 360),Sports,1/14/13,0.00665,Xbox360,1.999067,Electronic Arts
Mario Kart Wii(Wii),Racing,1/5/13,,Wii,14.259856,Nintendo
Mario Kart Wii(Wii),Racing,1/6/13,,Wii,14.259856,Nintendo
Mario Kart Wii(Wii),Racing,1/7/13,,Wii,14.259856,Nintendo
Mario Kart Wii(Wii),Racing,1/8/13,4.718507,Wii,14.259856,Nintendo
Mario Kart Wii(Wii),Racing,1/9/13,3.021777,Wii,14.259856,Nintendo
Mario Kart Wii(Wii),Racing,1/10/13,1.941825,Wii,14.259856,Nintendo
Mario Kart Wii(Wii),Racing,1/11/13,2.540943,Wii,14.259856,Nintendo
Mario Kart Wii(Wii),Racing,1/12/13,0.956729,Wii,14.259856,Nintendo
Mario Kart Wii(Wii),Racing,1/13/13,0.659801,Wii,14.259856,Nintendo
Mario Kart Wii(Wii),Racing,1/14/13,0.376403,Wii,14.259856,Nintendo
Wii Fit(Wii),Sports,1/5/13,,Wii,8.166394,Nintendo
Wii Fit(Wii),Sports,1/6/13,,Wii,8.166394,Nintendo
Wii Fit(Wii),Sports,1/7/13,,Wii,8.166394,Nintendo
Wii Fit(Wii),Sports,1/8/13,4.299177,Wii,8.166394,Nintendo
Wii Fit(Wii),Sports,1/9/13,3.812829,Wii,8.166394,Nintendo
Wii Fit(Wii),Sports,1/10/13,0.047336,Wii,8.166394,Nintendo
Wii Fit(Wii),Sports,1/11/13,0.007052,Wii,8.166394,Nintendo
Wii Fit(Wii),Sports,1/12/13,0.001,Wii,8.166394,Nintendo
Wii Fit(Wii),Sports,1/13/13,0.039439,Wii,8.166394,Nintendo
Wii Fit(Wii),Sports,1/14/13,0.001,Wii,8.166394,Nintendo
Super Smash Bros. Brawl(Wii),Fighting,1/5/13,,Wii,5.96259,Nintendo
Super Smash Bros. Brawl(Wii),Fighting,1/6/13,,Wii,5.96259,Nintendo
Super Smash Bros. Brawl(Wii),Fighting,1/7/13,,Wii,5.96259,Nintendo
Super Smash Bros. Brawl(Wii),Fighting,1/8/13,3.803898,Wii,5.96259,Nintendo
Super Smash Bros. Brawl(Wii),Fighting,1/9/13,0.503404,Wii,5.96259,Nintendo
Super Smash Bros. Brawl(Wii),Fighting,1/10/13,0.376415,Wii,5.96259,Nintendo
Super Smash Bros. Brawl(Wii),Fighting,1/11/13,0.329579,Wii,5.96259,Nintendo
Super Smash Bros. Brawl(Wii),Fighting,1/12/13,0.349983,Wii,5.96259,Nintendo
Super Smash Bros. Brawl(Wii),Fighting,1/13/13,0.322265,Wii,5.96259,Nintendo
Super Smash Bros. Brawl(Wii),Fighting,1/14/13,0.248146,Wii,5.96259,Nintendo
Grand Theft Auto IV(Xbox 360),Action,1/5/13,,Xbox360,6.134309,Take-Two Interactive
Grand Theft Auto IV(Xbox 360),Action,1/6/13,,Xbox360,6.134309,Take-Two Interactive
Grand Theft Auto IV(Xbox 360),Action,1/7/13,,Xbox360,6.134309,Take-Two Interactive
Grand Theft Auto IV(Xbox 360),Action,1/8/13,3.643919,Xbox360,6.134309,Take-Two Interactive
Grand Theft Auto IV(Xbox 360),Action,1/9/13,0.386127,Xbox360,6.134309,Take-Two Interactive
Grand Theft Auto IV(Xbox 360),Action,1/10/13,0.521101,Xbox360,6.134309,Take-Two Interactive
Grand Theft Auto IV(Xbox 360),Action,1/11/13,0.618674,Xbox360,6.134309,Take-Two Interactive
Grand Theft Auto IV(Xbox 360),Action,1/12/13,0.497556,Xbox360,6.134309,Take-Two Interactive
Grand Theft Auto IV(Xbox 360),Action,1/13/13,0.293623,Xbox360,6.134309,Take-Two Interactive
Grand Theft Auto IV(Xbox 360),Action,1/14/13,0.155437,Xbox360,6.134309,Take-Two Interactive
Call of Duty: World at War(Xbox 360),Shooter,1/5/13,,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/6/13,,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/7/13,,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/8/13,2.580454,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/9/13,1.03266,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/10/13,0.244022,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/11/13,0.109176,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/12/13,0.136906,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/13/13,0.10976,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/14/13,0.078964,Xbox360,4.309208,Activision
Gears of War 2(Xbox 360),Shooter,1/5/13,,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/6/13,,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/7/13,,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/8/13,2.416241,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/9/13,0.516236,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/10/13,0.275295,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/11/13,0.392905,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/12/13,0.09406,Xbox360,3.791217,Microsoft
