key,genre,date,value,console,total,company
Nintendogs(DS),simulation,01/05/13,1.485047,DS,8.321427,Nintendo
Nintendogs(DS),simulation,01/06/13,2.109928,DS,8.321427,Nintendo
Nintendogs(DS),simulation,01/07/13,1.850631,DS,8.321427,Nintendo
Nintendogs(DS),simulation,01/08/13,1.675954,DS,8.321427,Nintendo
Nintendogs(DS),simulation,01/09/13,0.841436,DS,8.321427,Nintendo
Nintendogs(DS),simulation,01/10/13,0.289825,DS,8.321427,Nintendo
Nintendogs(DS),simulation,01/11/13,0.035882,DS,8.321427,Nintendo
Nintendogs(DS),simulation,01/12/13,0.01216,DS,8.321427,Nintendo
Nintendogs(DS),simulation,01/13/13,0.010114,DS,8.321427,Nintendo
Nintendogs(DS),simulation,01/14/13,0.009304,DS,8.321427,Nintendo
Mario Kart(DS),Racing,01/05/13,0.804098,DS,8.893594,Nintendo
Mario Kart(DS),Racing,01/06/13,0.830651,DS,8.893594,Nintendo
Mario Kart(DS),Racing,01/07/13,0.868129,DS,8.893594,Nintendo
Mario Kart(DS),Racing,01/08/13,1.45918,DS,8.893594,Nintendo
Mario Kart(DS),Racing,01/09/13,1.491308,DS,8.893594,Nintendo
Mario Kart(DS),Racing,01/10/13,2.1288,DS,8.893594,Nintendo
Mario Kart(DS),Racing,01/11/13,0.58091,DS,8.893594,Nintendo
Mario Kart(DS),Racing,01/12/13,0.38307,DS,8.893594,Nintendo
Mario Kart(DS),Racing,01/13/13,0.232841,DS,8.893594,Nintendo
Mario Kart(DS),Racing,01/14/13,0.103087,DS,8.893594,Nintendo
Super Mario 64(DS),Platform,01/05/13,0.659009,DS,4.589275,Nintendo
Super Mario 64(DS),Platform,01/06/13,0.424848,DS,4.589275,Nintendo
Super Mario 64(DS),Platform,01/07/13,0.468851,DS,4.589275,Nintendo
Super Mario 64(DS),Platform,01/08/13,0.646529,DS,4.589275,Nintendo
Super Mario 64(DS),Platform,01/09/13,0.635142,DS,4.589275,Nintendo
Super Mario 64(DS),Platform,01/10/13,0.410381,DS,4.589275,Nintendo
Super Mario 64(DS),Platform,01/11/13,0.294205,DS,4.589275,Nintendo
Super Mario 64(DS),Platform,01/12/13,0.232204,DS,4.589275,Nintendo
Super Mario 64(DS),Platform,01/13/13,0.141265,DS,4.589275,Nintendo
Super Mario 64(DS),Platform,01/14/13,0.052785,DS,4.589275,Nintendo
Grand Theft Auto: Liberty City Stories(PSP),Action,01/05/13,0.657231,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,01/06/13,0.59948,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,01/07/13,0.430814,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,01/08/13,0.418379,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,01/09/13,0.237618,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,01/10/13,0.139125,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,01/11/13,0.073869,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,01/12/13,0.049144,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,01/13/13,0.035852,PSP,2.64859,Take-Two Interactive
Grand Theft Auto: Liberty City Stories(PSP),Action,01/14/13,0.007668,PSP,2.64859,Take-Two Interactive
Call of Duty 2(Xbox 360),Shooter,01/05/13,0.500044,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,01/06/13,0.545668,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,01/07/13,0.153544,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,01/08/13,0.149792,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,01/09/13,0.077984,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,01/10/13,0.005395,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,01/11/13,0.046986,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,01/12/13,0.040104,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,01/13/13,0.057208,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,01/14/13,0.045884,Xbox 360,1.62867,Activision
Madden NFL 06(PSP),Sports,01/05/13,0.459841,PSP,0.634755,Electronic Arts
Madden NFL 06(PSP),Sports,01/06/13,0.169903,PSP,0.634755,Electronic Arts
Madden NFL 06(PSP),Sports,01/07/13,0.003882,PSP,0.634755,Electronic Arts
Madden NFL 06(PSP),Sports,01/08/13,0.001,PSP,0.634755,Electronic Arts
Madden NFL 06(PSP),Sports,01/09/13,0.001,PSP,0.634755,Electronic Arts
Madden NFL 06(PSP),Sports,01/10/13,,PSP,0.634755,Electronic Arts
Madden NFL 06(PSP),Sports,01/11/13,,PSP,0.634755,Electronic Arts
Madden NFL 06(PSP),Sports,01/12/13,,PSP,0.634755,Electronic Arts
Madden NFL 06(PSP),Sports,01/13/13,,PSP,0.634755,Electronic Arts
Madden NFL 06(PSP),Sports,01/14/13,,PSP,0.634755,Electronic Arts
Need for Speed Underground Rivals(PSP),Racing,01/05/13,0.401682,PSP,0.628316,Electronic Arts
