key,genre,date,value,console,total,company
Untold Legends: Brotherhood of the Blade(PSP),Role-Playing,1/5/13,0.367824,PSP,0.490124,Sony Online Entertainment
Untold Legends: Brotherhood of the Blade(PSP),Role-Playing,1/6/13,0.060953,PSP,0.490124,Sony Online Entertainment
Untold Legends: Brotherhood of the Blade(PSP),Role-Playing,1/7/13,0.017202,PSP,0.490124,Sony Online Entertainment
Untold Legends: Brotherhood of the Blade(PSP),Role-Playing,1/8/13,0.005696,PSP,0.490124,Sony Online Entertainment
Untold Legends: Brotherhood of the Blade(PSP),Role-Playing,1/9/13,0.011941,PSP,0.490124,Sony Online Entertainment
Untold Legends: Brotherhood of the Blade(PSP),Role-Playing,1/10/13,0.010793,PSP,0.490124,Sony Online Entertainment
Untold Legends: Brotherhood of the Blade(PSP),Role-Playing,1/11/13,0.010606,PSP,0.490124,Sony Online Entertainment
Untold Legends: Brotherhood of the Blade(PSP),Role-Playing,1/12/13,0.001335,PSP,0.490124,Sony Online Entertainment
Untold Legends: Brotherhood of the Blade(PSP),Role-Playing,1/13/13,0.001547,PSP,0.490124,Sony Online Entertainment
Untold Legends: Brotherhood of the Blade(PSP),Role-Playing,1/14/13,0.00195,PSP,0.490124,Sony Online Entertainment
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/5/13,,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/6/13,0.758068,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/7/13,0.383752,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/8/13,0.314034,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/9/13,0.2635,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/10/13,0.145442,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/11/13,0.239192,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/12/13,0.154279,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/13/13,0.148229,Xbox 360,2.513141,Take-Two Interactive
The Elder Scrolls IV: Oblivion(Xbox 360),Role-Playing,1/14/13,0.092996,Xbox 360,2.513141,Take-Two Interactive
Pokemon Diamond/Pearl Version(DS),Role-Playing,1/5/13,,DS,5.859137,Nintendo
