key,genre,date,value,console,total,company
Call of Duty 2(Xbox 360),Shooter,1/5/13,0.500044,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/6/13,0.545668,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/7/13,0.153544,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/8/13,0.149792,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/9/13,0.077984,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/10/13,0.005395,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/11/13,0.046986,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/12/13,0.040104,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/13/13,0.057208,Xbox 360,1.62867,Activision
Call of Duty 2(Xbox 360),Shooter,1/14/13,0.045884,Xbox 360,1.62867,Activision
Gears of War(Xbox 360),Shooter,1/5/13,,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/6/13,1.785997,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/7/13,0.823503,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/8/13,0.36595,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/9/13,0.09925,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/10/13,0.053574,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/11/13,0.046777,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/12/13,0.023647,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/13/13,0.025401,Xbox 360,3.241065,Microsoft
Gears of War(Xbox 360),Shooter,1/14/13,0.014318,Xbox 360,3.241065,Microsoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/5/13,,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/6/13,0.918448,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/7/13,0.182244,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/8/13,0.089839,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/9/13,0.022008,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/10/13,0.021842,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/11/13,0.010142,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/12/13,0.003317,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/13/13,0.0149,Xbox 360,1.277221,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfight(Xbox 360),Shooter,1/14/13,0.013316,Xbox 360,1.277221,Ubisoft
Halo 3(Xbox 360),Shooter,1/5/13,,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/6/13,,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/7/13,4.244324,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/8/13,1.177825,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/9/13,1.007305,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/10/13,0.312179,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/11/13,0.188687,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/12/13,0.143612,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/13/13,0.0898,Xbox360,7.251021,Microsoft
Halo 3(Xbox 360),Shooter,1/14/13,0.077652,Xbox360,7.251021,Microsoft
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/5/13,,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/6/13,,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/7/13,2.35608,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/8/13,1.78552,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/9/13,0.489105,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/10/13,0.23545,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/11/13,0.111638,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/12/13,0.171307,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/13/13,0.12218,Xbox360,5.359202,Activision
Call of Duty 4: Modern Warfare(Xbox 360),Shooter,1/14/13,0.076238,Xbox360,5.359202,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/5/13,,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/6/13,,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/7/13,,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/8/13,2.580454,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/9/13,1.03266,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/10/13,0.244022,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/11/13,0.109176,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/12/13,0.136906,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/13/13,0.10976,Xbox360,4.309208,Activision
Call of Duty: World at War(Xbox 360),Shooter,1/14/13,0.078964,Xbox360,4.309208,Activision
Gears of War 2(Xbox 360),Shooter,1/5/13,,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/6/13,,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/7/13,,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/8/13,2.416241,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/9/13,0.516236,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/10/13,0.275295,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/11/13,0.392905,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/12/13,0.09406,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/13/13,0.06333,Xbox360,3.791217,Microsoft
Gears of War 2(Xbox 360),Shooter,1/14/13,0.029482,Xbox360,3.791217,Microsoft
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/5/13,,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/6/13,,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/7/13,,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/8/13,,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/9/13,5.1456,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/10/13,1.893033,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/11/13,0.421779,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/12/13,0.122319,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/13/13,0.099043,Xbox360,7.784095,Activision
Call of Duty: Modern Warfare 2(Xbox 360),Shooter,1/14/13,0.088418,Xbox360,7.784095,Activision
Halo 3: ODST(Xbox 360),Shooter,1/5/13,,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/6/13,,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/7/13,,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/8/13,,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/9/13,2.765126,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/10/13,0.836318,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/11/13,0.173803,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/12/13,0.067568,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/13/13,0.066232,Xbox360,3.960154,Microsoft
Halo 3: ODST(Xbox 360),Shooter,1/14/13,0.045221,Xbox360,3.960154,Microsoft
Call of Duty: Modern Warfare 2(PlayStation 3),Shooter,1/5/13,,PlayStation 3,4.548625,Activision
Call of Duty: Modern Warfare 2(PlayStation 3),Shooter,1/6/13,,PlayStation 3,4.548625,Activision
Call of Duty: Modern Warfare 2(PlayStation 3),Shooter,1/7/13,,PlayStation 3,4.548625,Activision
Call of Duty: Modern Warfare 2(PlayStation 3),Shooter,1/8/13,,PlayStation 3,4.548625,Activision
Call of Duty: Modern Warfare 2(PlayStation 3),Shooter,1/9/13,2.712419,PlayStation 3,4.548625,Activision
Call of Duty: Modern Warfare 2(PlayStation 3),Shooter,1/10/13,1.382378,PlayStation 3,4.548625,Activision
Call of Duty: Modern Warfare 2(PlayStation 3),Shooter,1/11/13,0.24427,PlayStation 3,4.548625,Activision
Call of Duty: Modern Warfare 2(PlayStation 3),Shooter,1/12/13,0.113375,PlayStation 3,4.548625,Activision
Call of Duty: Modern Warfare 2(PlayStation 3),Shooter,1/13/13,0.047906,PlayStation 3,4.548625,Activision
Call of Duty: Modern Warfare 2(PlayStation 3),Shooter,1/14/13,0.042214,PlayStation 3,4.548625,Activision
Call of Duty: Black Ops(Xbox 360),Shooter,1/5/13,,Xbox360,8.686111,Activision
Call of Duty: Black Ops(Xbox 360),Shooter,1/6/13,,Xbox360,8.686111,Activision
Call of Duty: Black Ops(Xbox 360),Shooter,1/7/13,,Xbox360,8.686111,Activision
Call of Duty: Black Ops(Xbox 360),Shooter,1/8/13,,Xbox360,8.686111,Activision
Call of Duty: Black Ops(Xbox 360),Shooter,1/9/13,,Xbox360,8.686111,Activision
Call of Duty: Black Ops(Xbox 360),Shooter,1/10/13,6.37384,Xbox360,8.686111,Activision
Call of Duty: Black Ops(Xbox 360),Shooter,1/11/13,1.637372,Xbox360,8.686111,Activision
Call of Duty: Black Ops(Xbox 360),Shooter,1/12/13,0.293726,Xbox360,8.686111,Activision
Call of Duty: Black Ops(Xbox 360),Shooter,1/13/13,0.204823,Xbox360,8.686111,Activision
Call of Duty: Black Ops(Xbox 360),Shooter,1/14/13,0.155574,Xbox360,8.686111,Activision
Halo: Reach(Xbox 360),Shooter,1/5/13,,Xbox360,6.386435,Microsoft Game Studios
Halo: Reach(Xbox 360),Shooter,1/6/13,,Xbox360,6.386435,Microsoft Game Studios
Halo: Reach(Xbox 360),Shooter,1/7/13,,Xbox360,6.386435,Microsoft Game Studios
Halo: Reach(Xbox 360),Shooter,1/8/13,,Xbox360,6.386435,Microsoft Game Studios
Halo: Reach(Xbox 360),Shooter,1/9/13,,Xbox360,6.386435,Microsoft Game Studios
Halo: Reach(Xbox 360),Shooter,1/10/13,4.658373,Xbox360,6.386435,Microsoft Game Studios
Halo: Reach(Xbox 360),Shooter,1/11/13,1.053915,Xbox360,6.386435,Microsoft Game Studios
Halo: Reach(Xbox 360),Shooter,1/12/13,0.408705,Xbox360,6.386435,Microsoft Game Studios
Halo: Reach(Xbox 360),Shooter,1/13/13,0.149441,Xbox360,6.386435,Microsoft Game Studios
Halo: Reach(Xbox 360),Shooter,1/14/13,0.105588,Xbox360,6.386435,Microsoft Game Studios
Call of Duty: Black Ops(PlayStation 3),Shooter,1/5/13,,PlayStation 3,5.391385,Activision
Call of Duty: Black Ops(PlayStation 3),Shooter,1/6/13,,PlayStation 3,5.391385,Activision
Call of Duty: Black Ops(PlayStation 3),Shooter,1/7/13,,PlayStation 3,5.391385,Activision
Call of Duty: Black Ops(PlayStation 3),Shooter,1/8/13,,PlayStation 3,5.391385,Activision
Call of Duty: Black Ops(PlayStation 3),Shooter,1/9/13,,PlayStation 3,5.391385,Activision
Call of Duty: Black Ops(PlayStation 3),Shooter,1/10/13,3.896876,PlayStation 3,5.391385,Activision
Call of Duty: Black Ops(PlayStation 3),Shooter,1/11/13,1.112473,PlayStation 3,5.391385,Activision
Call of Duty: Black Ops(PlayStation 3),Shooter,1/12/13,0.181898,PlayStation 3,5.391385,Activision
Call of Duty: Black Ops(PlayStation 3),Shooter,1/13/13,0.116104,PlayStation 3,5.391385,Activision
Call of Duty: Black Ops(PlayStation 3),Shooter,1/14/13,0.072259,PlayStation 3,5.391385,Activision
Call of Duty: Modern Warfare 3(Xbox 360),Shooter,1/5/13,,Xbox360,8.167165,Activision
Call of Duty: Modern Warfare 3(Xbox 360),Shooter,1/6/13,,Xbox360,8.167165,Activision
Call of Duty: Modern Warfare 3(Xbox 360),Shooter,1/7/13,,Xbox360,8.167165,Activision
Call of Duty: Modern Warfare 3(Xbox 360),Shooter,1/8/13,,Xbox360,8.167165,Activision
Call of Duty: Modern Warfare 3(Xbox 360),Shooter,1/9/13,,Xbox360,8.167165,Activision
Call of Duty: Modern Warfare 3(Xbox 360),Shooter,1/10/13,,Xbox360,8.167165,Activision
Call of Duty: Modern Warfare 3(Xbox 360),Shooter,1/11/13,6.484891,Xbox360,8.167165,Activision
Call of Duty: Modern Warfare 3(Xbox 360),Shooter,1/12/13,1.279558,Xbox360,8.167165,Activision
Call of Duty: Modern Warfare 3(Xbox 360),Shooter,1/13/13,0.198925,Xbox360,8.167165,Activision
Call of Duty: Modern Warfare 3(Xbox 360),Shooter,1/14/13,0.183398,Xbox360,8.167165,Activision
Call of Duty: Modern Warfare 3(PlayStation 3),Shooter,1/5/13,,PlayStation 3,5.02716,Activision
Call of Duty: Modern Warfare 3(PlayStation 3),Shooter,1/6/13,,PlayStation 3,5.02716,Activision
Call of Duty: Modern Warfare 3(PlayStation 3),Shooter,1/7/13,,PlayStation 3,5.02716,Activision
Call of Duty: Modern Warfare 3(PlayStation 3),Shooter,1/8/13,,PlayStation 3,5.02716,Activision
Call of Duty: Modern Warfare 3(PlayStation 3),Shooter,1/9/13,,PlayStation 3,5.02716,Activision
Call of Duty: Modern Warfare 3(PlayStation 3),Shooter,1/10/13,,PlayStation 3,5.02716,Activision
Call of Duty: Modern Warfare 3(PlayStation 3),Shooter,1/11/13,3.917822,PlayStation 3,5.02716,Activision
Call of Duty: Modern Warfare 3(PlayStation 3),Shooter,1/12/13,0.864202,PlayStation 3,5.02716,Activision
Call of Duty: Modern Warfare 3(PlayStation 3),Shooter,1/13/13,0.129627,PlayStation 3,5.02716,Activision
Call of Duty: Modern Warfare 3(PlayStation 3),Shooter,1/14/13,0.101762,PlayStation 3,5.02716,Activision
Gears of War 3(Xbox 360),Shooter,1/5/13,,Xbox360,3.677193,Microsoft Game Studios
Gears of War 3(Xbox 360),Shooter,1/6/13,,Xbox360,3.677193,Microsoft Game Studios
Gears of War 3(Xbox 360),Shooter,1/7/13,,Xbox360,3.677193,Microsoft Game Studios
Gears of War 3(Xbox 360),Shooter,1/8/13,,Xbox360,3.677193,Microsoft Game Studios
Gears of War 3(Xbox 360),Shooter,1/9/13,,Xbox360,3.677193,Microsoft Game Studios
Gears of War 3(Xbox 360),Shooter,1/10/13,,Xbox360,3.677193,Microsoft Game Studios
Gears of War 3(Xbox 360),Shooter,1/11/13,2.998268,Xbox360,3.677193,Microsoft Game Studios
Gears of War 3(Xbox 360),Shooter,1/12/13,0.37265,Xbox360,3.677193,Microsoft Game Studios
Gears of War 3(Xbox 360),Shooter,1/13/13,0.220079,Xbox360,3.677193,Microsoft Game Studios
Gears of War 3(Xbox 360),Shooter,1/14/13,0.077873,Xbox360,3.677193,Microsoft Game Studios
Battlefield 3(Xbox 360),Shooter,1/5/13,,Xbox360,4.041848,Electronic Arts
Battlefield 3(Xbox 360),Shooter,1/6/13,,Xbox360,4.041848,Electronic Arts
Battlefield 3(Xbox 360),Shooter,1/7/13,,Xbox360,4.041848,Electronic Arts
Battlefield 3(Xbox 360),Shooter,1/8/13,,Xbox360,4.041848,Electronic Arts
Battlefield 3(Xbox 360),Shooter,1/9/13,,Xbox360,4.041848,Electronic Arts
Battlefield 3(Xbox 360),Shooter,1/10/13,,Xbox360,4.041848,Electronic Arts
Battlefield 3(Xbox 360),Shooter,1/11/13,2.909396,Xbox360,4.041848,Electronic Arts
Battlefield 3(Xbox 360),Shooter,1/12/13,0.759971,Xbox360,4.041848,Electronic Arts
Battlefield 3(Xbox 360),Shooter,1/13/13,0.308176,Xbox360,4.041848,Electronic Arts
Battlefield 3(Xbox 360),Shooter,1/14/13,0.058169,Xbox360,4.041848,Electronic Arts
Call of Duty: Black Ops II(Xbox 360),Shooter,1/5/13,,Xbox360,7.348903,Activision
Call of Duty: Black Ops II(Xbox 360),Shooter,1/6/13,,Xbox360,7.348903,Activision
Call of Duty: Black Ops II(Xbox 360),Shooter,1/7/13,,Xbox360,7.348903,Activision
Call of Duty: Black Ops II(Xbox 360),Shooter,1/8/13,,Xbox360,7.348903,Activision
Call of Duty: Black Ops II(Xbox 360),Shooter,1/9/13,,Xbox360,7.348903,Activision
Call of Duty: Black Ops II(Xbox 360),Shooter,1/10/13,,Xbox360,7.348903,Activision
Call of Duty: Black Ops II(Xbox 360),Shooter,1/11/13,,Xbox360,7.348903,Activision
Call of Duty: Black Ops II(Xbox 360),Shooter,1/12/13,5.905481,Xbox360,7.348903,Activision
Call of Duty: Black Ops II(Xbox 360),Shooter,1/13/13,1.1727,Xbox360,7.348903,Activision
Call of Duty: Black Ops II(Xbox 360),Shooter,1/14/13,0.245054,Xbox360,7.348903,Activision
Halo 4(Xbox 360),Shooter,1/5/13,,Xbox360,5.92643,Microsoft Game Studios
Halo 4(Xbox 360),Shooter,1/6/13,,Xbox360,5.92643,Microsoft Game Studios
Halo 4(Xbox 360),Shooter,1/7/13,,Xbox360,5.92643,Microsoft Game Studios
Halo 4(Xbox 360),Shooter,1/8/13,,Xbox360,5.92643,Microsoft Game Studios
Halo 4(Xbox 360),Shooter,1/9/13,,Xbox360,5.92643,Microsoft Game Studios
Halo 4(Xbox 360),Shooter,1/10/13,,Xbox360,5.92643,Microsoft Game Studios
Halo 4(Xbox 360),Shooter,1/11/13,,Xbox360,5.92643,Microsoft Game Studios
Halo 4(Xbox 360),Shooter,1/12/13,4.671546,Xbox360,5.92643,Microsoft Game Studios
